iter	Passed	Remaining
1326	2198	286
1327	2200	285
1328	2202	283
1329	2203	281
1330	2205	280
1331	2206	278
1332	2208	276
1333	2209	275
1334	2211	273
1335	2213	271
1336	2215	270
1337	2216	268
1338	2218	266
1339	2219	265
1340	2221	263
1341	2223	261
1342	2224	260
1343	2226	258
1344	2228	256
1345	2229	255
1346	2231	253
1347	2233	251
1348	2235	250
1349	2236	248
1350	2238	246
1351	2239	245
1352	2242	243
1353	2244	241
1354	2245	240
1355	2247	238
1356	2249	237
1357	2250	235
1358	2252	233
1359	2254	232
1360	2255	230
1361	2257	228
1362	2259	227
1363	2261	225
1364	2263	223
1365	2264	222
1366	2266	220
1367	2268	218
1368	2269	217
1369	2271	215
1370	2273	213
1371	2275	212
1372	2277	210
1373	2278	208
1374	2280	207
1375	2282	205
1376	2283	203
1377	2285	202
1378	2287	200
1379	2288	199
1380	2290	197
1381	2291	195
1382	2293	194
1383	2294	192
1384	2296	190
1385	2298	189
1386	2300	187
1387	2301	185
1388	2303	184
1389	2304	182
1390	2306	180
1391	2308	179
1392	2309	177
1393	2311	175
1394	2312	174
1395	2314	172
1396	2316	170
1397	2317	169
1398	2319	167
1399	2321	165
1400	2322	164
1401	2324	162
1402	2326	160
1403	2327	159
1404	2329	157
1405	2330	155
1406	2332	154
1407	2333	152
1408	2335	150
1409	2337	149
1410	2338	147
1411	2340	145
1412	2342	144
1413	2343	142
1414	2345	140
1415	2347	139
1416	2348	137
1417	2350	135
1418	2351	134
1419	2353	132
1420	2355	130
1421	2357	129
1422	2358	127
1423	2360	125
1424	2362	124
1425	2364	122
1426	2365	121
1427	2367	119
1428	2368	117
1429	2370	116
1430	2372	114
1431	2374	112
1432	2375	111
1433	2377	109
1434	2379	107
1435	2380	106
1436	2382	104
1437	2383	102
1438	2385	101
1439	2387	99
1440	2388	97
1441	2390	96
1442	2391	94
1443	2393	92
1444	2394	91
1445	2396	89
1446	2398	87
1447	2400	86
1448	2401	84
1449	2403	82
1450	2404	81
1451	2406	79
1452	2408	77
1453	2409	76
1454	2411	74
1455	2413	72
1456	2415	71
1457	2416	69
1458	2418	67
1459	2420	66
1460	2421	64
1461	2423	62
1462	2425	61
1463	2427	59
1464	2429	58
1465	2431	56
1466	2432	54
1467	2434	53
1468	2436	51
1469	2437	49
1470	2439	48
1471	2440	46
1472	2442	44
1473	2444	43
1474	2445	41
1475	2447	39
1476	2448	38
1477	2450	36
1478	2452	34
1479	2453	33
1480	2455	31
1481	2457	29
1482	2458	28
1483	2460	26
1484	2462	24
1485	2463	23
1486	2465	21
1487	2466	19
1488	2468	18
1489	2470	16
1490	2471	14
1491	2473	13
1492	2474	11
1493	2476	9
1494	2478	8
1495	2479	6
1496	2481	4
1497	2482	3
1498	2484	1
1499	2485	0
